id,u,v,width,height,is_line
14908,0.2838913,0.7781824,0.06400629,0.07905962,test
14908,0.2853103,0.7790685,0.0615643,0.07604331,test
14908,0.2894748,0.7816368,0.05565085,0.06873911,test
14908,0.2956928,0.7852355,0.04672163,0.05770986,test
14908,0.3105854,0.7906138,0.05898246,0.07285426,test
14908,0.3119034,0.7910873,0.05735099,0.07083909,test
14908,0.3149165,0.7923098,0.05268679,0.06507795,test
14908,0.318493,0.793613,0.04741111,0.0585615,test
14908,0.3311318,0.7954187,0.0572741,0.07074412,test
14908,0.3326346,0.7956742,0.05519671,0.06817816,test
14908,0.3362415,0.7961175,0.05021767,0.06202812,test
14908,0.341237,0.7966037,0.04302608,0.05314518,test
14908,0.3522418,0.7940422,0.05122442,0.06327164,test
14908,0.3534116,0.7936539,0.04961756,0.06128688,test
14908,0.3555164,0.793114,0.0457768,0.05654283,test
14908,0.3582979,0.7923822,0.04054054,0.05007507,test
14908,0.3666586,0.7858276,0.04955862,0.06121407,test
14908,0.3674998,0.7851841,0.04834297,0.05971252,test
14908,0.3687466,0.7840654,0.04519824,0.0558282,test
14908,0.3700479,0.7825684,0.04229722,0.0522449,test
14908,0.3760872,0.7734811,0.05281817,0.06524023,test
14908,0.3767537,0.772516,0.05138184,0.06346609,test
14908,0.3779442,0.7706504,0.04771064,0.05893147,test
14908,0.3794287,0.7683177,0.04351626,0.05375064,test
14908,0.384136,0.7550655,0.05475779,0.06763601,test
14908,0.3847815,0.7535824,0.05295635,0.0654109,test
14908,0.3857079,0.7508029,0.04908791,0.06063266,test
14908,0.3867616,0.7473537,0.04444593,0.05489896,test
14908,0.3905537,0.730738,0.05813714,0.07181013,test
14908,0.3908985,0.7292697,0.05651792,0.06981011,test
14908,0.3915586,0.7263281,0.05282921,0.06525386,test
14908,0.3924143,0.7225766,0.04822963,0.05957252,test
14908,0.3952467,0.7051296,0.06075114,0.0750389,test
14908,0.3955313,0.7035364,0.05928158,0.07322373,test
14908,0.3961849,0.6999952,0.05515517,0.06812685,test
14908,0.3968949,0.6951479,0.04933265,0.06093496,test
14908,0.398746,0.6795802,0.05908265,0.07297802,test
14908,0.3989512,0.6778597,0.05726853,0.07073724,test
14908,0.3993427,0.6743698,0.05275042,0.06515653,test
14908,0.3996606,0.6694768,0.04677823,0.05777977,test
14908,0.4015732,0.6545579,0.05653792,0.06983479,test
14908,0.4017742,0.6530558,0.05506728,0.0680183,test
14908,0.4021541,0.6500539,0.0507008,0.06262487,test
14908,0.402731,0.6460627,0.04536999,0.05604034,test
14908,0.4029784,0.6330676,0.05441729,0.06721543,test
14908,0.4031198,0.6316192,0.05297212,0.06543037,test
14908,0.4031678,0.6286387,0.0488634,0.06035534,test
14908,0.403093,0.6243131,0.04188069,0.05173041,test
14908,0.4016795,0.6127822,0.04954721,0.06119998,test
14908,0.4015818,0.6115776,0.04826472,0.05961586,test
14908,0.4013502,0.6093279,0.04434618,0.05477574,test
14908,0.4008592,0.6062374,0.03898034,0.04814794,test
14908,0.3974129,0.5958002,0.04799142,0.05927829,test
14908,0.3970195,0.5945564,0.04635938,0.05726241,test
